year,month,quarter,months_since_start,보조금 지급유무,1인당 보조금,목표대수,배터리 가격_lag3,유가_MA3_lag3,경제 상황_MA3_lag3,전기차 검색량_lag3,전기차 주행거리_lag3,충전소 수_lag3,충전소 수 증가량_lag3,Ioniq 5_lag3
-86.26859541230101,214.75616350044268,12.112914203696363,-2047.4694555713834,130.49210564188866,-100.69197472571253,-49.52068273439278,-66.78840669443679,93.92594953703285,61.371338869141944,-34.32012376163561,-270.78192150791966,-2183.2931053894727,-368.12795464779936,-86.65770882348761
-85.97305670219416,171.10504124871434,-31.816286034360783,-2011.2089606822506,129.26525943331626,-96.2377891469999,-48.21197761202092,-64.64217576542522,81.99138937270315,19.92823243796761,-44.79454591152129,-266.71313913118234,-2174.7545042599086,-364.2472189441874,-86.97117026343287
-80.41436239883352,145.73420435916398,-32.44581715344428,-1997.4301848867276,124.16549916610059,-100.27324432885837,-47.37684853810453,-61.807423196586086,74.66919622106275,-13.285190184164334,-41.84823455217952,-262.6545571621513,-2117.7995207890604,-349.17434664326134,-87.17573854040195
-80.41715646510588,167.08169207261275,-31.458101107670966,-1983.4713360530714,124.19906809168725,-101.01140641415657,-47.377838850846864,-61.28140161597917,37.536153310897205,-15.217777492007363,-40.36989479871392,-253.68355024160135,-2103.761856122471,-349.6602479883864,-87.05078400025396
-86.83896828818685,174.13447614303533,-33.358190057052504,-2025.2690611283742,129.02578931018084,-100.2622476505892,-48.63353776236772,-64.85994848482923,31.890640793906968,10.328578667071135,-45.3679940764467,-255.46283015522908,-2170.6791111369325,-359.2430168650774,-86.99803592357802
-88.32502005823697,212.96410614938407,-33.43053441067512,-2083.2620679837155,130.06748523413296,-103.27308378964123,-49.30068575961301,-68.79225219072937,80.28439536898136,25.953047373677354,-46.8429771323113,-268.231405955702,-2219.9732531213185,-362.0553139432032,-86.96079412277523
-73.18456872862669,-206.55435950317104,-34.675236160346856,-1936.7640188885177,122.08260438955101,-61.57348088055633,-45.63764547120389,-59.616062102875425,69.11808905859881,9.548182768540915,-40.70762886330231,-258.16984734964285,-2039.5640981402764,-332.36033782503546,-88.49170259726468
-58.65377339960184,-944.2636416819039,65.2538288906352,-1246.9544648147266,-924.3832499405119,-72.15833524357113,-24.51513310730108,-37.7597676008654,108.42470230213496,-18.22786467481788,-27.6176497528468,-185.61224242664585,-1371.5390662867258,-211.24698891672324,-83.76457168538776
-68.07415294155173,-660.3855813027445,85.71457947729645,-1824.7762055482785,155.7320090237969,-85.71273589762657,-37.38171443640399,-50.3903368265501,87.5331646598812,4.275785100802721,-28.454915529532418,-239.8589180040699,-1969.4149864834583,-322.7585638291675,-83.19373671035191
-84.20580778634672,320.5565257334383,128.2412069414706,-2211.1625162144446,132.08976172793436,-105.23652123249666,-50.84154524684571,-74.83766764378238,51.39406738555022,-12.647954217152574,-43.499569004917205,-287.8293288924531,-2336.4573173444683,-371.04906937301314,-86.09680027088727
