year,month,region,count
2024,4,경북,"18,284"
2024,4,경남,"32,140"
2024,4,제주,"32,048"
2024,4,강원,"15,065"
2024,4,전북,"15,502"
2024,3,서울,"65,695"
2024,3,부산,"30,935"
2024,3,대구,"24,966"
2024,3,인천,"37,222"
2024,3,광주,"10,950"
2024,3,대전,"16,266"
2024,3,울산,"8,458"
2024,3,세종,"4,534"
2024,3,경기,"98,261"
2024,3,충북,"16,254"
2024,3,충남,"18,891"
2024,3,전남,"20,527"
2024,3,경북,"17,889"
2024,3,경남,"31,443"
2024,3,제주,"31,611"
2024,3,강원,"14,895"
2024,3,전북,"15,210"
2024,2,서울,"64,356"
2024,2,부산,"29,936"
2024,2,대구,"24,500"
2024,2,인천,"36,050"
2024,2,광주,"10,717"
2024,2,대전,"15,926"
2024,2,울산,"8,263"
2024,2,세종,"4,455"
2024,2,경기,"93,825"
2024,2,충북,"15,460"
2024,2,충남,"17,899"
2024,2,전남,"19,584"
2024,2,경북,"16,977"
2024,2,경남,"29,569"
2024,2,제주,"30,706"
2024,2,강원,"14,608"
2024,2,전북,"14,625"
2024,1,서울,"64,255"
2024,1,부산,"29,707"
2024,1,대구,"24,486"
2024,1,인천,"35,700"
2024,1,광주,"10,672"
2024,1,대전,"15,833"
2024,1,울산,"8,234"
2024,1,세종,"4,421"
2024,1,경기,"93,261"
2024,1,충북,"15,435"
2024,1,충남,"18,018"
2024,1,전남,"19,525"
2024,1,경북,"16,927"
2024,1,경남,"29,433"
2024,1,제주,"30,599"
2024,1,강원,"14,576"
2024,1,전북,"14,617"
2023,12,서울,"64,369"
2023,12,부산,"29,569"
2023,12,대구,"24,479"
2023,12,인천,"35,275"
2023,12,광주,"10,682"
2023,12,대전,"15,735"
2023,12,울산,"8,196"
2023,12,세종,"4,379"
2023,12,경기,"92,771"
2023,12,충북,"15,393"
2023,12,충남,"17,954"
2023,12,전북,"14,581"
2023,12,전남,"19,450"
2023,12,경북,"16,805"
2023,12,경남,"29,267"
2023,12,제주,"30,568"
2023,12,강원,"14,560"
2023,11,서울,"63,222"
2023,11,부산,"28,767"
2023,11,대구,"24,368"
2023,11,인천,"33,513"
2023,11,광주,"10,403"
2023,11,대전,"15,286"
2023,11,울산,"8,061"
2023,11,세종,"4,228"
2023,11,경기,"90,736"
2023,11,충북,"15,158"
2023,11,충남,"17,474"
2023,11,전북,"14,197"
2023,11,전남,"19,011"
2023,11,경북,"16,338"
2023,11,경남,"28,204"
2023,11,제주,"30,131"
2023,11,강원,"14,328"
2023,10,서울,"62,000"
2023,10,부산,"27,544"
2023,10,대구,"23,784"
2023,10,인천,"32,036"
2023,10,광주,"9,954"
2023,10,대전,"14,761"
2023,10,울산,"7,764"
2023,10,세종,"4,176"
2023,10,경기,"87,534"
2023,10,충북,"14,912"
2023,10,충남,"17,203"
2023,10,전북,"13,587"
2023,10,전남,"18,427"
2023,10,경북,"15,974"
2023,10,경남,"27,224"
2023,10,제주,"29,444"
2023,10,강원,"13,930"
2023,9,서울,"60,871"
2023,9,부산,"26,348"
2023,9,대구,"23,292"
2023,9,인천,"30,824"
2023,9,광주,"9,565"
2023,9,대전,"14,522"
2023,9,울산,"7,659"
2023,9,세종,"4,063"
2023,9,경기,"84,782"
2023,9,충북,"14,735"
2023,9,충남,"16,575"
2023,9,전북,"13,253"
2023,9,전남,"18,030"
2023,9,경북,"15,721"
2023,9,경남,"26,263"
2023,9,제주,"29,142"
2023,9,강원,"13,688"
2023,8,서울,"59,551"
2023,8,부산,"25,517"
2023,8,대구,"22,733"
2023,8,인천,"29,546"
2023,8,광주,"9,342"
2023,8,대전,"14,304"
2023,8,울산,"7,514"
2023,8,세종,"3,875"
2023,8,경기,"81,466"
2023,8,충북,"14,422"
2023,8,충남,"16,217"
2023,8,전북,"12,963"
2023,8,전남,"17,523"
2023,8,경북,"15,435"
2023,8,경남,"25,488"
2023,8,제주,"28,909"
2023,8,강원,"13,471"
2023,7,서울,"58,931"
2023,7,부산,"24,738"
2023,7,대구,"22,423"
2023,7,인천,"28,895"
2023,7,광주,"9,177"
2023,7,대전,"14,237"
2023,7,울산,"7,384"
2023,7,세종,"3,776"
2023,7,경기,"79,758"
2023,7,충북,"14,160"
2023,7,충남,"16,120"
2023,7,전북,"12,750"
2023,7,전남,"17,228"
2023,7,경북,"15,268"
2023,7,경남,"24,795"
2023,7,제주,"28,567"
2023,7,강원,"13,308"
2023,6,서울,"58,251"
2023,6,부산,"24,224"
2023,6,대구,"22,019"
2023,6,인천,"27,992"
2023,6,광주,"8,999"
2023,6,대전,"14,067"
2023,6,울산,"7,273"
2023,6,세종,"3,668"
2023,6,경기,"77,975"
2023,6,충북,"13,974"
2023,6,충남,"15,791"
2023,6,전북,"12,383"
2023,6,전남,"16,975"
2023,6,경북,"14,992"
2023,6,경남,"23,266"
2023,6,제주,"28,014"
2023,6,강원,"13,128"
2023,5,서울,"56,780"
2023,5,부산,"23,200"
2023,5,대구,"21,640"
2023,5,인천,"26,949"
2023,5,광주,"8,797"
2023,5,대전,"13,856"
2023,5,울산,"7,138"
2023,5,세종,"3,544"
2023,5,경기,"75,339"
2023,5,강원,"12,904"
2023,5,충북,"13,685"
2023,5,충남,"15,447"
2023,5,전북,"12,150"
2023,5,전남,"16,193"
2023,5,경북,"14,619"
2023,5,경남,"22,406"
2023,5,제주,"27,536"
2023,4,서울,"55,843"
2023,4,부산,"22,557"
2023,4,대구,"21,319"
2023,4,인천,"25,898"
2023,4,광주,"8,631"
2023,4,대전,"13,670"
2023,4,울산,"6,996"
2023,4,세종,"3,436"
2023,4,경기,"73,077"
2023,4,강원,"12,604"
2023,4,충북,"13,349"
2023,4,충남,"14,966"
2023,4,전북,"11,886"
2023,4,전남,"15,502"
2023,4,경북,"14,237"
2023,4,경남,"21,648"
2023,4,제주,"27,119"
2023,3,서울,"55,045"
2023,3,부산,"21,227"
2023,3,대구,"20,960"
2023,3,인천,"24,629"
2023,3,광주,"8,432"
2023,3,대전,"13,495"
2023,3,울산,"6,817"
2023,3,세종,"3,331"
2023,3,경기,"70,622"
2023,3,강원,"12,332"
2023,3,충북,"13,288"
2023,3,충남,"14,475"
2023,3,전북,"11,353"
2023,3,전남,"14,461"
2023,3,경북,"13,575"
2023,3,경남,"20,789"
2023,3,제주,"26,580"
2023,2,서울,"53,797"
2023,2,부산,"20,455"
